ID,type,x COM, y COM
2,2,110.640000,22.360000
5,2,122.192308,21.230769
6,2,127.166667,21.666667
7,2,133.304348,22.478261
9,2,144.357143,22.428571
10,2,149.400000,22.240000
12,2,155.555556,23.333333
13,2,86.625000,30.958333
14,2,90.480000,25.240000
15,2,97.666667,28.703704
16,2,96.640000,24.640000
18,2,112.625000,26.041667
19,2,112.920000,30.240000
22,2,130.956522,27.130435
23,2,135.190476,27.476190
26,2,155.208333,28.291667
31,2,79.958333,33.708333
34,2,91.666667,29.125000
38,2,112.565217,34.434783
39,2,117.307692,33.384615
41,2,129.727273,33.136364
42,2,133.818182,32.227273
45,2,148.280000,33.120000
46,2,153.423077,33.500000
47,2,158.583333,31.250000
51,2,176.391304,31.695652
53,2,74.307692,37.076923
55,2,84.041667,34.541667
57,2,94.086957,36.391304
58,2,95.458333,32.333333
61,2,113.434783,39.304348
62,2,119.772727,38.500000
63,2,120.958333,32.875000
65,2,127.800000,37.160000
66,2,135.120000,36.160000
67,2,141.500000,36.666667
76,2,188.041667,36.375000
77,2,194.153846,40.076923
78,2,61.653846,40.615385
79,2,67.160000,39.400000
81,2,78.480000,44.640000
82,2,79.391304,39.478261
84,2,93.909091,42.136364
85,2,99.791667,42.500000
87,2,106.363636,43.772727
88,2,111.115385,44.384615
89,2,115.913043,42.000000
90,2,120.071429,43.642857
91,2,125.666667,41.833333
92,2,131.400000,40.720000
93,2,136.357143,40.464286
94,2,139.250000,42.125000
96,2,154.818182,41.272727
98,2,157.521739,44.086957
100,2,175.240000,46.200000
101,2,177.960000,40.880000
103,2,187.160000,40.080000
109,2,73.666667,47.083333
110,2,79.400000,49.000000
113,2,91.481481,46.888889
114,2,97.217391,46.782609
115,2,102.217391,46.391304
117,2,108.640000,51.680000
118,2,113.923077,49.153846
122,2,135.083333,49.041667
125,2,149.884615,52.576923
130,2,179.090909,45.863636
131,2,182.304348,46.434783
132,2,187.500000,48.115385
133,2,192.333333,48.000000
134,2,198.434783,49.000000
135,2,199.478261,43.869565
136,2,55.434783,52.521739
137,2,59.500000,52.500000
138,2,63.909091,54.045455
139,2,67.884615,54.384615
140,2,72.600000,51.360000
142,2,80.740741,53.740741
144,2,93.320000,51.800000
146,2,102.440000,51.600000
151,2,123.285714,55.571429
153,2,132.956522,53.130435
155,2,149.000000,57.695652
162,2,183.958333,56.333333
166,2,203.291667,49.416667
167,2,206.750000,53.416667
170,2,57.115385,57.538462
171,2,63.565217,58.521739
173,2,76.173913,54.000000
177,2,91.400000,57.800000
179,2,104.423077,56.538462
181,2,113.954545,58.090909
183,2,127.250000,56.708333
184,2,131.080000,57.320000
185,2,135.625000,57.875000
188,2,146.304348,61.043478
190,2,155.960000,58.520000
192,2,167.521739,57.826087
195,2,181.875000,60.375000
197,2,189.320000,55.240000
200,2,203.440000,61.760000
201,2,208.739130,57.391304
202,2,42.961538,63.730769
203,2,48.680000,63.240000
204,2,54.086957,61.217391
206,2,59.904762,61.380952
211,2,88.125000,64.208333
213,2,96.045455,62.227273
214,2,101.440000,60.640000
216,2,111.000000,62.240000
219,2,132.520000,62.640000
221,2,141.785714,63.928571
223,2,149.680000,64.440000
225,2,153.730769,62.538462
227,2,168.040000,63.120000
230,2,185.440000,63.560000
231,2,188.272727,59.363636
232,2,193.727273,61.863636
233,2,198.040000,62.040000
235,2,208.250000,61.750000
236,2,214.571429,61.904762
240,2,52.913043,66.347826
244,2,71.619048,64.047619
245,2,73.142857,68.571429
247,2,92.833333,68.583333
248,2,92.500000,63.272727
252,2,113.520000,66.800000
257,2,137.666667,62.333333
259,2,145.200000,66.760000
260,2,153.916667,67.375000
263,2,167.260870,68.304348
266,2,180.928571,71.464286
268,2,191.444444,64.518519
269,2,196.434783,68.086957
271,2,208.280000,66.160000
278,2,52.416667,71.541667
280,2,64.851852,73.851852
284,2,87.222222,68.888889
285,2,87.954545,76.000000
286,2,90.590909,72.181818
287,2,97.740741,77.370370
296,2,143.920000,71.520000
297,2,148.782609,70.478261
299,2,155.884615,72.653846
300,2,162.440000,76.080000
304,2,183.208333,76.416667
306,2,191.166667,69.041667
308,2,201.782609,71.956522
309,2,204.083333,68.208333
314,2,37.217391,79.000000
317,2,54.166667,76.458333
320,2,68.958333,77.041667
321,2,72.333333,79.791667
325,2,93.148148,76.925926
327,2,104.954545,78.318182
329,2,112.480000,78.880000
333,2,134.333333,75.095238
334,2,139.208333,77.000000
336,2,143.090909,75.772727
338,2,156.360000,78.640000
340,2,165.600000,81.560000
341,2,170.600000,82.120000
344,2,187.833333,78.333333
349,2,210.840000,75.920000
351,2,221.181818,75.681818
352,2,225.640000,78.720000
354,2,40.608696,83.869565
356,2,48.923077,77.730769
357,2,49.961538,81.730769
358,2,54.782609,83.260870
361,2,78.826087,85.130435
362,2,74.666667,84.166667
365,2,91.440000,83.720000
368,2,105.000000,82.680000
370,2,118.214286,81.892857
371,2,124.040000,83.640000
372,2,128.681818,79.772727
373,2,133.120000,79.720000
374,2,137.291667,81.500000
375,2,142.153846,82.961538
378,2,157.037037,83.148148
379,2,161.181818,79.590909
383,2,182.962963,82.703704
384,2,187.800000,83.600000
385,2,190.916667,81.041667
386,2,195.909091,79.227273
388,2,208.923077,80.346154
391,2,220.375000,80.166667
392,2,229.857143,85.952381
395,2,41.041667,89.458333
397,2,48.772727,85.590909
398,2,51.920000,89.040000
399,2,56.875000,87.125000
405,2,88.960000,80.160000
407,2,94.153846,87.269231
409,2,106.130435,87.782609
410,2,113.961538,84.000000
411,2,119.592593,87.037037
416,2,140.840000,87.880000
418,2,148.615385,87.576923
419,2,154.272727,87.863636
423,2,179.090909,90.909091
425,2,189.440000,87.040000
428,2,198.545455,88.500000
429,2,203.136364,91.090909
431,2,221.523810,88.095238
432,2,220.454545,84.545455
433,2,225.538462,84.192308
438,2,39.153846,94.230769
440,2,47.833333,90.666667
443,2,67.846154,93.653846
444,2,71.826087,91.565217
445,2,76.629630,89.555556
448,2,94.629630,92.555556
449,2,98.000000,89.333333
452,2,110.333333,89.958333
453,2,114.500000,88.875000
454,2,119.269231,91.884615
455,2,126.181818,93.454545
456,2,130.880000,91.360000
457,2,137.545455,92.227273
459,2,148.130435,92.391304
460,2,153.192308,92.115385
462,2,165.200000,95.080000
466,2,183.230769,88.461538
469,2,194.608696,90.565217
