ID,type,x COM, y COM
2,2,111.416667,21.833333
5,2,122.090909,21.772727
6,2,127.541667,21.541667
7,2,133.391304,22.434783
9,2,143.440000,22.800000
10,2,149.954545,22.409091
12,2,156.250000,23.535714
13,2,85.043478,30.260870
14,2,91.833333,25.083333
15,2,97.347826,28.043478
16,2,97.680000,24.360000
18,2,113.208333,25.541667
19,2,111.869565,29.695652
22,2,131.000000,27.115385
23,2,135.791667,26.541667
26,2,154.217391,28.130435
31,2,80.086957,33.826087
34,2,91.576923,29.653846
38,2,112.269231,34.346154
39,2,117.000000,33.136364
41,2,129.291667,32.875000
42,2,133.500000,32.500000
45,2,148.708333,33.791667
46,2,153.761905,32.857143
47,2,158.040000,31.480000
51,2,175.761905,31.333333
53,2,73.769231,36.461538
55,2,83.652174,35.782609
57,2,93.608696,36.217391
58,2,96.461538,32.076923
61,2,114.840000,38.280000
62,2,120.160000,39.320000
63,2,121.250000,32.833333
65,2,128.291667,37.208333
66,2,134.625000,36.625000
67,2,141.791667,37.083333
76,2,188.000000,36.318182
77,2,194.500000,39.833333
78,2,61.045455,41.909091
79,2,68.291667,39.291667
81,2,78.478261,44.739130
82,2,79.208333,39.458333
84,2,93.680000,41.800000
85,2,100.782609,43.000000
87,2,106.280000,43.760000
88,2,111.291667,44.208333
89,2,115.840000,43.200000
90,2,120.714286,43.714286
91,2,125.818182,41.590909
92,2,131.200000,41.240000
93,2,137.333333,39.625000
94,2,138.857143,42.785714
96,2,154.230769,40.423077
98,2,157.407407,44.222222
100,2,174.960000,46.040000
101,2,177.240000,41.440000
103,2,187.500000,39.666667
109,2,73.913043,46.434783
110,2,79.280000,49.240000
113,2,91.954545,46.227273
114,2,96.916667,46.083333
115,2,102.320000,47.160000
117,2,108.083333,52.375000
118,2,113.450000,49.350000
122,2,134.782609,49.130435
125,2,149.916667,52.458333
130,2,179.227273,45.909091
131,2,182.760000,46.440000
132,2,187.416667,46.666667
133,2,193.333333,48.875000
134,2,198.478261,49.000000
135,2,199.545455,44.409091
136,2,55.166667,53.166667
137,2,59.500000,52.500000
138,2,63.760000,53.440000
139,2,68.071429,53.392857
140,2,72.920000,51.440000
142,2,80.416667,53.833333
144,2,93.035714,51.892857
146,2,102.434783,51.173913
151,2,123.960000,55.880000
153,2,133.166667,53.416667
155,2,149.920000,58.000000
162,2,182.680000,56.200000
166,2,203.565217,48.391304
167,2,206.760000,54.000000
170,2,57.363636,57.272727
171,2,64.086957,57.956522
173,2,75.739130,54.130435
177,2,91.720000,56.840000
179,2,104.200000,56.240000
181,2,113.884615,58.000000
183,2,127.590909,58.227273
184,2,131.347826,57.608696
185,2,135.961538,57.115385
188,2,146.772727,61.636364
190,2,156.173913,59.217391
192,2,166.769231,57.653846
195,2,181.115385,60.730769
197,2,188.000000,55.000000
200,2,202.666667,60.925926
201,2,208.750000,58.000000
202,2,42.500000,63.500000
203,2,48.000000,63.125000
204,2,54.333333,61.777778
206,2,60.296296,61.740741
211,2,87.880000,64.160000
213,2,96.000000,61.600000
214,2,100.720000,60.880000
216,2,111.538462,61.884615
219,2,133.130435,62.173913
221,2,142.125000,63.916667
223,2,149.727273,65.272727
225,2,153.640000,63.040000
227,2,167.960000,63.280000
230,2,185.851852,63.222222
231,2,188.125000,59.208333
232,2,193.833333,62.166667
233,2,197.692308,62.269231
235,2,207.840000,62.360000
236,2,214.250000,62.750000
240,2,52.083333,66.916667
244,2,71.280000,63.200000
245,2,73.160000,67.520000
247,2,92.730769,68.384615
248,2,91.857143,63.035714
252,2,113.040000,67.120000
257,2,138.653846,62.461538
259,2,145.333333,66.958333
260,2,154.130435,67.826087
263,2,166.440000,69.200000
266,2,180.958333,71.791667
268,2,191.000000,64.560000
269,2,197.454545,67.863636
271,2,208.714286,67.000000
278,2,53.200000,71.760000
280,2,64.560000,74.040000
284,2,86.769231,69.769231
285,2,87.833333,76.583333
286,2,91.130435,72.347826
287,2,97.185185,77.000000
296,2,143.961538,71.846154
