ID,type,x COM, y COM
2,2,105.652174,24.521739
6,2,125.791667,23.041667
7,2,132.583333,25.166667
8,2,138.347826,23.565217
9,2,142.769231,21.615385
11,2,152.958333,23.208333
14,2,94.083333,26.916667
17,2,110.608696,28.826087
19,2,114.000000,31.695652
20,2,123.074074,28.592593
21,2,127.043478,26.652174
24,2,141.760000,27.000000
25,2,146.434783,26.869565
26,2,151.260870,27.347826
27,2,157.045455,28.863636
28,2,163.086957,22.913043
29,2,166.347826,28.695652
30,2,169.086957,26.608696
31,2,75.640000,34.680000
34,2,88.777778,29.851852
35,2,94.291667,32.041667
36,2,100.880000,31.880000
38,2,108.407407,34.777778
40,2,122.083333,33.750000
41,2,126.818182,32.227273
42,2,131.653846,29.653846
45,2,146.040000,31.400000
46,2,152.583333,31.750000
47,2,159.320000,32.960000
48,2,161.875000,27.791667
49,2,165.074074,32.962963
50,2,171.500000,31.000000
51,2,175.318182,31.772727
52,2,184.600000,35.880000
53,2,71.500000,37.730769
57,2,93.703704,37.296296
58,2,98.000000,40.043478
59,2,99.173913,35.869565
61,2,111.136364,36.909091
63,2,124.538462,37.884615
65,2,130.695652,33.913043
67,2,143.500000,37.750000
68,2,148.076923,34.884615
70,2,155.576923,36.423077
73,2,173.958333,38.041667
74,2,179.320000,36.920000
75,2,183.782609,40.000000
77,2,190.714286,35.000000
78,2,58.791667,42.541667
80,2,71.720000,42.840000
82,2,82.576923,46.346154
83,2,87.608696,41.739130
86,2,103.333333,41.083333
87,2,109.217391,41.956522
89,2,114.346154,45.153846
90,2,119.956522,42.130435
91,2,124.615385,42.923077
94,2,143.423077,43.423077
95,2,147.640000,41.920000
96,2,150.923077,44.500000
97,2,156.090909,41.772727
103,2,188.125000,43.166667
105,2,193.000000,42.173913
106,2,56.880000,46.400000
110,2,76.041667,45.125000
111,2,87.120000,48.160000
113,2,92.307692,46.923077
117,2,113.680000,50.880000
122,2,139.960000,48.040000
124,2,145.520000,47.480000
126,2,154.875000,46.625000
128,2,167.720000,46.600000
132,2,186.727273,50.590909
133,2,194.680000,45.680000
135,2,199.500000,46.625000
136,2,55.760000,51.320000
138,2,63.000000,52.166667
140,2,74.260870,53.347826
141,2,77.166667,57.666667
143,2,90.480000,52.480000
144,2,95.000000,50.500000
145,2,94.880000,54.800000
147,2,106.958333,52.541667
148,2,110.363636,53.409091
150,2,121.636364,55.863636
157,2,157.416667,52.750000
160,2,171.000000,50.318182
161,2,174.666667,51.958333
163,2,188.863636,47.454545
165,2,194.916667,49.750000
167,2,204.576923,52.615385
168,2,48.000000,60.173913
169,2,53.750000,55.875000
170,2,58.863636,58.000000
172,2,63.391304,56.565217
175,2,81.347826,56.130435
176,2,87.000000,56.869565
178,2,97.238095,57.809524
183,2,125.222222,59.111111
185,2,130.160000,58.480000
186,2,133.166667,63.333333
187,2,140.739130,58.086957
190,2,156.458333,57.500000
193,2,173.320000,56.600000
195,2,183.608696,55.478261
196,2,186.571429,57.619048
198,2,195.380952,53.476190
200,2,207.521739,56.217391
203,2,43.615385,61.000000
204,2,52.416667,60.125000
205,2,56.160000,61.880000
208,2,73.880000,65.280000
209,2,77.666667,62.625000
210,2,82.409091,60.727273
211,2,86.791667,61.666667
213,2,94.423077,62.538462
215,2,106.409091,65.181818
218,2,120.115385,61.692308
219,2,127.192308,63.615385
220,2,137.125000,61.416667
223,2,149.461538,62.269231
224,2,152.090909,59.545455
225,2,157.375000,61.416667
229,2,175.269231,64.346154
230,2,180.269231,60.923077
231,2,184.869565,61.913043
235,2,205.840000,64.600000
236,2,209.120000,60.120000
243,2,70.041667,62.208333
245,2,78.692308,68.884615
248,2,91.541667,66.333333
251,2,110.653846,69.269231
253,2,118.520000,67.680000
256,2,132.291667,68.041667
257,2,137.080000,67.960000
260,2,154.440000,66.200000
261,2,158.400000,67.440000
262,2,163.192308,66.230769
263,2,165.500000,71.769231
264,2,168.333333,65.777778
265,2,175.720000,68.840000
267,2,184.608696,66.217391
269,2,194.238095,67.714286
270,2,199.833333,67.333333
278,2,50.807692,76.230769
279,2,57.409091,70.772727
283,2,74.960000,70.840000
284,2,82.727273,70.863636
286,2,88.173913,69.478261
287,2,94.000000,71.259259
289,2,105.680000,70.840000
291,2,119.038462,73.115385
292,2,124.083333,72.500000
293,2,129.291667,72.916667
294,2,132.521739,74.739130
295,2,136.846154,73.423077
296,2,140.739130,71.347826
297,2,144.760000,72.800000
299,2,155.666667,71.583333
300,2,161.952381,71.428571
301,2,170.360000,73.720000
302,2,170.869565,69.478261
311,2,215.192308,74.615385
312,2,221.480000,71.960000
313,2,34.521739,76.782609
315,2,40.400000,77.400000
316,2,46.000000,74.428571
318,2,55.565217,76.521739
319,2,60.080000,74.960000
321,2,74.190476,75.952381
325,2,91.961538,75.884615
328,2,106.708333,76.000000
331,2,122.250000,77.125000
332,2,127.269231,77.923077
336,2,143.185185,77.518519
337,2,148.227273,77.000000
339,2,159.333333,74.714286
341,2,169.259259,77.925926
345,2,195.880000,77.560000
346,2,196.846154,72.423077
347,2,199.913043,78.608696
348,2,210.480000,77.760000
349,2,210.869565,72.086957
350,2,214.360000,79.920000
354,2,36.095238,81.238095
355,2,41.625000,82.208333
356,2,45.695652,79.521739
358,2,57.166667,81.250000
359,2,61.478261,81.043478
361,2,72.307692,81.884615
362,2,77.192308,80.653846
363,2,81.500000,84.636364
365,2,91.541667,80.666667
366,2,95.846154,82.692308
369,2,107.560000,81.880000
375,2,142.666667,82.958333
378,2,159.480000,82.920000
380,2,164.166667,82.000000
381,2,170.200000,82.520000
382,2,178.458333,81.916667
389,2,212.720000,84.680000
390,2,217.695652,83.782609
391,2,220.857143,81.785714
393,2,28.130435,90.565217
395,2,37.115385,85.076923
397,2,46.913043,85.434783
399,2,56.925926,86.185185
401,2,66.739130,86.826087
404,2,82.888889,88.444444
405,2,88.916667,87.666667
406,2,92.571429,85.428571
409,2,111.958333,87.083333
410,2,114.600000,86.920000
411,2,117.208333,86.958333
416,2,145.041667,87.041667
420,2,162.500000,87.125000
421,2,167.416667,85.875000
422,2,174.166667,81.833333
423,2,177.913043,87.217391
424,2,181.791667,86.708333
425,2,186.416667,87.000000
427,2,198.800000,87.160000
428,2,203.416667,86.125000
429,2,207.166667,88.166667
432,2,219.850000,88.650000
433,2,225.318182,87.181818
434,2,230.458333,85.750000
436,2,33.653846,90.307692
438,2,44.153846,91.730769
439,2,47.250000,94.791667
440,2,53.307692,91.769231
441,2,58.653846,90.807692
444,2,73.192308,89.500000
445,2,77.739130,90.173913
447,2,87.125000,93.000000
448,2,92.750000,91.178571
449,2,97.652174,93.043478
450,2,108.846154,87.923077
453,2,121.375000,90.041667
455,2,130.434783,92.608696
456,2,131.181818,97.636364
458,2,143.000000,92.200000
463,2,166.625000,91.375000
464,2,173.909091,88.136364
465,2,177.954545,92.909091
466,2,183.000000,91.800000
473,2,218.166667,93.000000
474,2,224.833333,90.166667
476,2,235.857143,90.761905
479,2,37.920000,98.600000
480,2,43.166667,97.375000
482,2,51.173913,97.565217
485,2,68.000000,99.727273
489,2,87.037037,98.074074
490,2,91.680000,96.120000
495,2,116.440000,94.320000
496,2,121.000000,95.000000
497,2,125.681818,98.545455
499,2,137.560000,102.640000
501,2,147.037037,97.000000
504,2,166.360000,94.960000
509,2,185.333333,96.166667
510,2,190.416667,95.666667
511,2,194.600000,98.240000
512,2,200.481481,96.925926
515,2,218.958333,97.208333
