ID,type,x COM, y COM
1,2,102.000000,22.000000
2,2,106.916667,21.916667
3,2,111.884615,22.076923
4,2,117.000000,22.000000
5,2,122.083333,22.083333
6,2,127.000000,22.000000
8,2,136.846154,21.807692
9,2,142.000000,22.000000
10,2,146.958333,22.083333
12,2,157.000000,21.916667
18,2,111.916667,27.083333
19,2,116.800000,26.840000
20,2,121.800000,27.160000
27,2,157.037037,27.185185
31,2,77.166667,32.250000
34,2,92.083333,32.083333
35,2,96.923077,32.115385
37,2,107.040000,31.960000
39,2,116.962963,32.148148
41,2,127.000000,32.000000
42,2,131.916667,32.041667
43,2,137.000000,31.750000
45,2,147.083333,32.083333
47,2,156.958333,32.291667
48,2,162.120000,31.960000
50,2,171.923077,32.115385
51,2,177.000000,32.000000
53,2,71.826087,37.043478
58,2,97.083333,37.083333
60,2,107.160000,36.920000
61,2,112.000000,37.000000
62,2,116.916667,37.083333
69,2,152.083333,37.083333
70,2,156.916667,37.083333
71,2,162.000000,37.000000
72,2,167.000000,37.000000
73,2,172.083333,37.083333
81,2,77.173913,42.000000
82,2,82.000000,42.000000
83,2,86.958333,42.083333
85,2,97.000000,42.000000
86,2,102.000000,42.000000
89,2,117.000000,42.000000
91,2,127.000000,42.000000
92,2,131.800000,42.160000
93,2,136.800000,42.000000
94,2,141.884615,41.923077
98,2,162.083333,42.083333
99,2,167.000000,42.000000
101,2,177.083333,41.916667
103,2,187.000000,42.000000
105,2,197.000000,42.000000
107,2,62.000000,47.083333
113,2,91.875000,47.250000
115,2,102.000000,47.000000
116,2,107.115385,46.961538
117,2,112.000000,47.160000
118,2,116.826087,46.869565
120,2,127.000000,47.000000
121,2,132.000000,47.000000
125,2,151.916667,47.083333
127,2,162.000000,47.000000
128,2,167.040000,47.080000
131,2,182.120000,47.320000
132,2,187.000000,47.000000
133,2,192.000000,47.000000
134,2,197.000000,47.000000
135,2,202.000000,47.000000
137,2,57.000000,52.000000
138,2,62.000000,52.000000
139,2,67.000000,52.000000
140,2,71.923077,51.884615
141,2,77.000000,52.000000
142,2,82.083333,51.916667
143,2,87.000000,52.000000
146,2,102.000000,52.000000
148,2,112.083333,52.083333
149,2,117.000000,52.000000
152,2,132.000000,52.000000
153,2,136.869565,51.913043
154,2,141.884615,52.000000
155,2,146.750000,52.000000
157,2,157.000000,52.000000
158,2,162.040000,51.840000
160,2,172.083333,52.083333
163,2,187.000000,52.000000
164,2,192.000000,52.000000
166,2,202.115385,51.923077
168,2,46.962963,57.222222
169,2,52.076923,56.884615
171,2,62.120000,57.200000
173,2,72.125000,56.916667
174,2,77.200000,57.000000
177,2,92.115385,56.923077
178,2,97.000000,57.173913
180,2,107.120000,56.880000
181,2,112.000000,57.000000
184,2,127.076923,56.884615
185,2,132.000000,57.000000
186,2,136.916667,56.708333
188,2,147.000000,57.000000
191,2,162.000000,57.000000
193,2,172.000000,57.000000
194,2,177.000000,56.884615
195,2,181.916667,56.916667
196,2,187.000000,57.000000
197,2,192.080000,57.040000
199,2,201.916667,57.083333
200,2,206.884615,56.923077
201,2,212.000000,57.000000
202,2,41.692308,62.153846
204,2,52.083333,62.083333
205,2,56.888889,62.222222
209,2,77.043478,61.826087
210,2,82.000000,62.000000
212,2,92.115385,62.076923
213,2,97.083333,61.916667
214,2,101.920000,61.800000
215,2,107.000000,62.000000
219,2,127.000000,62.000000
220,2,132.000000,62.000000
221,2,137.148148,61.962963
223,2,147.083333,61.916667
224,2,152.000000,62.083333
226,2,161.916667,61.916667
227,2,166.884615,62.076923
228,2,172.000000,62.000000
232,2,191.875000,61.916667
233,2,196.884615,62.076923
235,2,206.923077,62.115385
236,2,212.000000,62.000000
238,2,42.000000,67.000000
239,2,47.038462,66.692308
240,2,52.000000,67.000000
241,2,57.083333,67.291667
242,2,62.000000,67.000000
243,2,67.000000,67.000000
244,2,71.916667,66.916667
246,2,82.000000,67.000000
252,2,112.200000,67.040000
253,2,117.083333,67.041667
254,2,122.083333,67.083333
255,2,127.000000,67.000000
256,2,132.000000,67.000000
257,2,137.115385,67.038462
258,2,142.360000,66.840000
260,2,152.083333,66.916667
261,2,157.000000,67.000000
262,2,162.000000,67.000000
267,2,187.200000,67.160000
270,2,201.814815,67.185185
274,2,222.000000,67.000000
275,2,37.083333,72.083333
277,2,47.148148,72.000000
278,2,51.916667,72.083333
280,2,62.173913,72.130435
282,2,72.083333,72.083333
283,2,76.814815,72.222222
284,2,82.000000,72.000000
286,2,92.000000,72.000000
287,2,97.038462,72.115385
288,2,101.916667,71.916667
295,2,137.173913,72.130435
297,2,146.692308,72.192308
299,2,156.916667,71.916667
303,2,176.916667,72.083333
308,2,202.083333,72.083333
309,2,207.000000,72.000000
310,2,211.916667,71.916667
313,2,31.916667,77.083333
316,2,47.000000,77.000000
317,2,52.000000,77.000000
319,2,61.958333,76.916667
320,2,66.916667,76.916667
321,2,71.884615,77.269231
322,2,77.083333,77.083333
325,2,92.083333,77.083333
326,2,96.958333,77.083333
328,2,107.240000,76.920000
329,2,111.916667,77.083333
330,2,116.653846,76.538462
331,2,121.916667,77.000000
332,2,126.884615,76.961538
336,2,146.916667,76.916667
340,2,167.000000,77.000000
342,2,177.160000,77.200000
346,2,197.000000,77.000000
347,2,202.000000,77.000000
348,2,207.000000,77.000000
350,2,217.125000,76.875000
352,2,227.000000,77.000000
357,2,51.800000,82.000000
361,2,71.916667,82.083333
362,2,77.000000,82.000000
365,2,92.000000,82.000000
366,2,97.000000,82.000000
368,2,107.000000,82.000000
370,2,117.192308,81.846154
371,2,122.041667,81.916667
372,2,127.192308,82.153846
373,2,131.920000,82.040000
374,2,136.800000,82.000000
375,2,141.814815,82.185185
379,2,162.000000,82.000000
380,2,167.000000,82.000000
382,2,176.916667,82.083333
383,2,182.000000,82.000000
384,2,187.000000,82.000000
385,2,192.000000,82.000000
386,2,197.000000,82.000000
389,2,212.083333,82.083333
390,2,217.000000,82.000000
391,2,222.115385,81.923077
392,2,227.083333,82.083333
394,2,32.045455,87.090909
395,2,36.620690,87.413793
396,2,41.884615,87.076923
397,2,47.000000,87.000000
401,2,67.083333,86.916667
402,2,72.000000,87.000000
403,2,77.000000,87.000000
404,2,82.000000,87.000000
405,2,87.083333,87.083333
408,2,102.000000,87.000000
409,2,107.000000,87.000000
411,2,116.916667,86.916667
413,2,126.791667,87.041667
415,2,136.916667,86.916667
417,2,147.000000,87.000000
418,2,151.916667,86.916667
421,2,167.000000,87.000000
422,2,172.000000,87.200000
424,2,182.037037,86.814815
426,2,192.083333,87.083333
427,2,196.916667,86.916667
430,2,211.692308,86.961538
431,2,216.884615,87.076923
434,2,231.833333,86.708333
435,2,27.000000,92.000000
436,2,31.916667,92.083333
442,2,62.000000,92.000000
444,2,72.000000,92.200000
445,2,77.000000,92.000000
446,2,82.000000,92.000000
449,2,96.960000,92.120000
450,2,102.000000,92.000000
451,2,107.000000,92.000000
459,2,147.222222,91.962963
462,2,162.000000,92.000000
463,2,166.869565,91.826087
470,2,201.777778,92.074074
472,2,212.000000,92.000000
473,2,217.000000,92.000000
474,2,222.000000,92.000000
476,2,232.111111,91.777778
477,2,27.000000,97.000000
479,2,37.083333,97.083333
480,2,42.000000,97.000000
481,2,47.083333,97.083333
482,2,52.115385,96.923077
483,2,57.200000,97.040000
485,2,67.083333,97.083333
490,2,92.076923,97.115385
492,2,102.000000,97.000000
493,2,106.961538,97.115385
497,2,126.916667,97.083333
498,2,131.833333,96.708333
501,2,147.000000,97.000000
504,2,162.090909,97.227273
507,2,176.958333,97.083333
508,2,182.000000,97.000000
509,2,187.000000,97.000000
511,2,197.038462,96.884615
513,2,207.000000,97.000000
515,2,217.000000,97.000000
517,2,227.080000,97.200000
518,2,232.115385,97.076923
519,2,237.083333,96.916667
520,2,22.000000,102.000000
522,2,32.000000,102.000000
523,2,37.000000,102.000000
525,2,47.000000,102.000000
526,2,52.000000,102.000000
528,2,62.000000,102.000000
532,2,82.130435,102.173913
534,2,92.000000,102.200000
535,2,97.000000,102.000000
537,2,107.041667,102.083333
540,2,122.083333,101.916667
542,2,132.192308,101.692308
543,2,136.869565,102.173913
546,2,151.807692,101.692308
548,2,161.846154,102.115385
550,2,172.000000,102.000000
551,2,177.000000,102.000000
552,2,182.115385,101.923077
556,2,201.777778,101.962963
557,2,207.000000,102.000000
558,2,212.000000,102.000000
560,2,222.000000,102.000000
561,2,227.000000,102.083333
563,2,236.960000,102.360000
565,2,27.000000,107.000000
567,2,37.000000,106.826087
571,2,56.875000,107.000000
576,2,82.000000,107.000000
578,2,91.916667,107.083333
582,2,111.916667,106.916667
583,2,116.800000,107.000000
585,2,126.960000,106.840000
586,2,132.000000,107.000000
589,2,147.000000,107.000000
590,2,152.160000,106.800000
591,2,157.111111,107.222222
594,2,172.280000,107.360000
595,2,177.000000,107.000000
597,2,186.884615,106.923077
600,2,202.000000,107.000000
602,2,212.083333,106.916667
605,2,227.000000,107.000000
608,2,22.000000,112.000000
609,2,27.000000,112.000000
611,2,36.923077,111.884615
612,2,42.000000,112.000000
614,2,52.083333,112.041667
618,2,71.956522,112.304348
619,2,77.000000,112.000000
620,2,81.826087,111.869565
624,2,102.083333,111.916667
627,2,117.115385,111.923077
628,2,122.041667,112.041667
629,2,126.916667,111.958333
630,2,131.750000,111.875000
632,2,142.083333,111.916667
633,2,147.222222,111.814815
641,2,187.173913,112.130435
643,2,196.960000,112.160000
644,2,202.000000,112.000000
646,2,212.000000,112.000000
648,2,222.083333,112.083333
649,2,227.000000,112.000000
653,2,27.000000,117.000000
656,2,41.692308,117.038462
657,2,46.846154,116.884615
661,2,67.000000,117.000000
670,2,112.000000,117.000000
672,2,122.000000,117.000000
673,2,127.000000,117.000000
675,2,136.625000,116.875000
678,2,151.958333,117.125000
680,2,162.083333,117.083333
681,2,166.923077,117.115385
682,2,172.000000,117.000000
683,2,177.227273,116.909091
689,2,206.923077,116.884615
693,2,227.000000,117.000000
694,2,232.000000,116.800000
697,2,26.884615,121.923077
702,2,52.000000,122.000000
705,2,67.000000,122.000000
706,2,72.000000,122.000000
714,2,112.000000,122.000000
716,2,122.000000,122.000000
718,2,132.000000,122.000000
720,2,142.038462,121.884615
721,2,147.000000,122.000000
722,2,151.760000,121.840000
723,2,156.960000,121.920000
726,2,172.041667,121.958333
728,2,182.083333,122.083333
730,2,192.000000,122.000000
731,2,197.083333,122.083333
732,2,202.000000,122.000000
738,2,231.962963,121.925926
741,2,27.000000,127.000000
742,2,32.000000,127.000000
743,2,37.000000,127.000000
745,2,47.000000,127.000000
749,2,67.000000,127.000000
752,2,82.115385,127.076923
753,2,87.083333,126.916667
