ID,type,x COM, y COM
2,2,105.583333,23.958333
6,2,125.809524,23.285714
7,2,135.160000,26.560000
8,2,138.840000,23.560000
9,2,142.434783,22.956522
11,2,153.043478,22.695652
14,2,94.130435,27.478261
17,2,110.640000,28.720000
19,2,114.227273,32.181818
20,2,123.666667,29.125000
21,2,127.640000,26.440000
24,2,142.045455,28.272727
25,2,146.434783,26.695652
26,2,150.625000,26.875000
27,2,154.320000,30.840000
28,2,161.600000,23.400000
29,2,165.521739,28.608696
30,2,169.740741,26.703704
31,2,75.041667,32.875000
34,2,88.681818,29.772727
35,2,93.000000,31.892857
36,2,98.925926,31.037037
38,2,109.000000,34.500000
40,2,121.960000,33.160000
41,2,127.666667,31.925926
42,2,131.961538,29.461538
45,2,146.260870,32.000000
46,2,150.695652,33.000000
47,2,159.370370,31.962963
48,2,161.090909,27.727273
49,2,165.153846,33.076923
50,2,171.250000,31.333333
51,2,176.080000,32.480000
52,2,184.423077,34.692308
53,2,71.964286,37.535714
57,2,93.857143,37.523810
58,2,98.782609,38.521739
59,2,98.458333,34.916667
61,2,110.208333,37.791667
63,2,124.227273,38.045455
65,2,131.380952,34.523810
67,2,143.238095,37.333333
68,2,147.952381,36.476190
70,2,156.037037,36.296296
73,2,175.136364,36.909091
74,2,179.590909,36.727273
75,2,184.280000,39.560000
77,2,189.520000,34.320000
78,2,59.458333,43.041667
80,2,72.727273,42.272727
82,2,82.160000,45.120000
83,2,86.000000,42.730769
86,2,104.615385,40.192308
87,2,109.857143,42.571429
89,2,114.080000,45.600000
90,2,118.458333,43.083333
91,2,123.038462,43.461538
94,2,143.217391,42.695652
95,2,147.423077,40.846154
96,2,149.916667,45.208333
97,2,157.480000,42.160000
103,2,186.880000,43.840000
105,2,193.250000,42.916667
106,2,57.173913,46.782609
110,2,77.423077,46.576923
111,2,87.400000,48.000000
113,2,92.360000,46.240000
117,2,114.240000,52.120000
122,2,140.347826,46.826087
124,2,145.375000,46.875000
126,2,153.916667,46.125000
128,2,170.409091,46.181818
132,2,186.750000,52.166667
133,2,194.888889,46.407407
135,2,199.920000,46.560000
136,2,55.520000,51.960000
138,2,64.791667,52.083333
140,2,75.230769,54.269231
141,2,76.370370,58.592593
143,2,90.818182,51.136364
144,2,95.360000,51.200000
145,2,93.120000,56.040000
147,2,107.272727,50.954545
148,2,110.285714,53.357143
150,2,122.583333,55.666667
157,2,157.678571,52.642857
160,2,171.480000,52.040000
161,2,175.269231,51.346154
163,2,190.160000,48.040000
165,2,195.916667,50.666667
167,2,205.346154,51.307692
168,2,48.304348,59.652174
169,2,53.840000,56.440000
170,2,58.571429,57.571429
172,2,62.800000,56.560000
175,2,81.272727,56.045455
176,2,86.800000,56.160000
178,2,97.772727,56.545455
183,2,125.760000,58.760000
185,2,129.304348,59.782609
186,2,133.458333,64.041667
187,2,140.192308,56.692308
190,2,156.296296,56.740741
193,2,174.260870,56.826087
195,2,182.840000,55.280000
196,2,185.428571,58.357143
198,2,197.714286,53.380952
200,2,207.850000,55.700000
203,2,44.583333,60.375000
204,2,51.884615,62.307692
205,2,55.000000,62.000000
208,2,74.120000,65.640000
209,2,77.888889,63.111111
210,2,82.680000,61.280000
211,2,87.962963,59.814815
213,2,94.666667,64.142857
215,2,106.083333,65.333333
218,2,121.160000,61.400000
219,2,127.458333,64.208333
220,2,136.520000,60.680000
223,2,148.800000,62.800000
224,2,153.076923,60.307692
225,2,158.360000,61.560000
229,2,176.125000,62.958333
230,2,179.909091,61.727273
231,2,183.217391,63.695652
235,2,207.789474,64.421053
236,2,209.200000,60.440000
243,2,69.428571,64.000000
245,2,78.520000,68.800000
248,2,92.391304,65.739130
251,2,110.833333,69.375000
253,2,118.857143,67.142857
256,2,132.269231,68.384615
257,2,137.750000,67.125000
260,2,153.888889,66.814815
261,2,158.083333,65.916667
262,2,162.652174,66.782609
263,2,167.041667,70.458333
264,2,167.375000,65.666667
265,2,174.538462,71.269231
267,2,183.608696,67.434783
269,2,194.583333,67.916667
270,2,199.625000,67.875000
278,2,49.409091,77.772727
279,2,55.920000,71.720000
283,2,75.640000,71.880000
284,2,82.130435,71.217391
286,2,87.307692,70.961538
287,2,92.619048,70.523810
289,2,106.166667,70.666667
291,2,118.769231,74.384615
292,2,123.615385,71.730769
293,2,128.916667,73.875000
294,2,132.954545,74.772727
295,2,137.076923,73.576923
296,2,140.629630,71.481481
297,2,144.960000,72.240000
299,2,156.409091,71.818182
300,2,161.541667,71.000000
301,2,169.391304,73.782609
302,2,171.720000,68.840000
311,2,216.391304,76.521739
312,2,220.840000,73.120000
313,2,35.076923,76.000000
315,2,40.541667,77.791667
316,2,44.291667,73.041667
318,2,55.320000,77.240000
319,2,59.928571,74.750000
321,2,72.760000,74.560000
325,2,92.800000,74.840000
328,2,106.925926,76.222222
331,2,121.708333,77.375000
332,2,125.458333,77.541667
336,2,144.038462,78.307692
337,2,147.760000,76.200000
339,2,161.739130,74.826087
341,2,169.038462,77.423077
345,2,193.826087,76.521739
346,2,197.640000,72.640000
347,2,197.954545,78.318182
