ID,type,x COM, y COM
1,2,102.791667,22.875000
2,2,107.153846,21.615385
3,2,112.130435,22.695652
4,2,116.538462,21.730769
5,2,121.555556,22.074074
6,2,127.153846,21.461538
8,2,137.230769,21.807692
9,2,142.380952,21.904762
10,2,146.916667,21.916667
12,2,156.428571,21.571429
18,2,111.043478,27.086957
19,2,116.000000,27.642857
20,2,122.038462,26.307692
27,2,157.000000,26.750000
31,2,77.000000,33.666667
34,2,92.000000,32.208333
35,2,96.954545,32.090909
37,2,107.160000,32.200000
39,2,117.423077,31.807692
41,2,127.222222,32.074074
42,2,132.280000,32.160000
43,2,136.750000,32.125000
45,2,147.695652,32.347826
47,2,157.296296,32.000000
48,2,162.600000,32.240000
50,2,172.760000,32.320000
51,2,176.708333,31.500000
53,2,71.500000,36.846154
58,2,97.391304,37.043478
60,2,106.846154,37.538462
61,2,111.956522,37.173913
62,2,116.920000,36.480000
69,2,152.125000,37.250000
70,2,156.826087,37.130435
71,2,161.884615,36.538462
72,2,167.384615,37.153846
73,2,171.708333,37.166667
81,2,76.520000,42.720000
82,2,82.166667,42.166667
83,2,87.166667,41.750000
85,2,96.760000,42.080000
86,2,101.320000,42.760000
89,2,117.407407,41.925926
91,2,126.923077,42.192308
92,2,131.857143,42.142857
93,2,136.481481,41.814815
94,2,142.130435,41.782609
98,2,161.851852,41.407407
99,2,166.923077,42.269231
101,2,177.200000,42.080000
103,2,187.076923,41.884615
105,2,197.166667,42.416667
107,2,61.478261,46.869565
113,2,91.880000,47.760000
115,2,102.142857,47.607143
116,2,106.916667,47.000000
117,2,112.040000,46.240000
118,2,115.961538,47.500000
120,2,127.769231,47.346154
121,2,132.192308,47.192308
125,2,151.916667,46.916667
127,2,161.916667,46.833333
128,2,166.535714,47.464286
131,2,183.041667,46.875000
132,2,187.521739,47.217391
133,2,192.076923,46.884615
134,2,197.346154,46.692308
135,2,202.090909,47.545455
137,2,57.115385,51.538462
138,2,61.833333,51.666667
139,2,66.080000,52.480000
140,2,71.500000,52.000000
141,2,76.400000,52.280000
142,2,81.960000,52.160000
143,2,87.166667,51.583333
146,2,101.869565,52.173913
148,2,112.370370,51.925926
149,2,117.880000,52.360000
152,2,131.791667,52.916667
153,2,136.884615,51.923077
154,2,142.280000,52.080000
155,2,145.826087,51.739130
157,2,156.695652,52.173913
158,2,161.291667,51.708333
160,2,172.090909,52.181818
163,2,186.666667,51.916667
164,2,192.080000,52.240000
166,2,202.450000,52.150000
168,2,47.434783,57.260870
169,2,52.125000,57.125000
171,2,61.413793,56.931034
173,2,72.346154,57.000000
174,2,77.666667,56.416667
177,2,91.625000,56.875000
178,2,97.750000,57.750000
180,2,107.700000,56.950000
181,2,111.960000,56.560000
184,2,127.346154,57.153846
185,2,132.958333,57.250000
186,2,137.846154,57.346154
188,2,147.000000,56.800000
191,2,162.521739,57.086957
193,2,171.960000,56.920000
194,2,177.083333,57.083333
195,2,182.045455,56.909091
196,2,187.000000,57.000000
197,2,192.500000,57.041667
199,2,201.923077,57.192308
200,2,206.695652,56.869565
201,2,211.434783,57.434783
202,2,42.727273,61.954545
204,2,52.391304,62.391304
205,2,57.041667,62.625000
209,2,77.120000,61.800000
210,2,82.115385,61.923077
212,2,92.444444,62.333333
213,2,97.120000,61.680000
214,2,101.880000,62.320000
215,2,107.153846,62.038462
219,2,127.160000,62.120000
220,2,132.375000,62.125000
221,2,137.090909,62.136364
223,2,147.375000,61.541667
224,2,152.000000,62.333333
226,2,161.869565,62.173913
227,2,166.583333,62.125000
228,2,171.807692,61.346154
232,2,191.640000,61.120000
233,2,197.250000,62.000000
235,2,207.200000,62.040000
236,2,212.916667,62.125000
238,2,42.153846,66.923077
239,2,47.153846,66.653846
240,2,52.333333,67.074074
241,2,57.565217,67.608696
242,2,61.833333,67.166667
243,2,66.461538,67.961538
244,2,72.136364,66.954545
246,2,81.833333,67.291667
252,2,112.000000,67.000000
253,2,116.904762,67.142857
254,2,121.720000,67.520000
255,2,126.391304,67.173913
256,2,131.500000,66.615385
257,2,136.782609,66.869565
258,2,141.181818,66.590909
260,2,151.956522,67.173913
261,2,156.884615,66.538462
262,2,161.772727,66.772727
267,2,187.320000,67.000000
270,2,201.481481,67.629630
274,2,221.739130,67.826087
275,2,37.375000,71.625000
277,2,47.000000,71.750000
278,2,52.200000,72.160000
280,2,62.240000,72.040000
282,2,73.000000,71.777778
283,2,76.954545,72.090909
284,2,82.000000,72.166667
286,2,91.916667,71.708333
287,2,96.320000,72.560000
288,2,102.153846,72.192308
295,2,137.461538,72.038462
297,2,146.454545,72.500000
299,2,157.148148,71.481481
303,2,177.130435,72.304348
308,2,202.629630,72.148148
309,2,207.708333,71.958333
310,2,212.291667,71.666667
313,2,32.583333,76.708333
316,2,47.038462,76.692308
317,2,52.208333,76.541667
319,2,61.080000,76.840000
320,2,66.703704,77.185185
321,2,72.576923,77.230769
322,2,77.681818,76.363636
325,2,92.347826,77.434783
326,2,97.068966,77.068966
328,2,107.200000,76.880000
329,2,111.652174,77.826087
330,2,115.173913,76.521739
331,2,121.476190,77.190476
332,2,126.160000,76.280000
336,2,147.086957,76.217391
340,2,166.423077,77.461538
342,2,177.240000,77.200000
346,2,196.560000,77.040000
347,2,201.807692,77.230769
348,2,206.750000,77.000000
350,2,216.125000,77.166667
352,2,227.035714,76.785714
357,2,50.958333,81.958333
361,2,71.692308,81.615385
362,2,77.250000,81.642857
365,2,91.600000,82.400000
366,2,96.500000,82.307692
368,2,107.083333,82.083333
370,2,116.791667,81.291667
371,2,122.625000,81.166667
372,2,127.615385,81.576923
373,2,132.518519,81.777778
374,2,137.560000,81.480000
375,2,141.961538,81.846154
379,2,162.304348,82.217391
380,2,167.000000,82.111111
382,2,176.800000,82.440000
383,2,182.296296,82.074074
384,2,187.083333,82.250000
385,2,192.142857,81.571429
386,2,196.916667,82.083333
389,2,212.000000,82.000000
390,2,217.083333,81.916667
391,2,221.750000,83.000000
392,2,227.296296,82.111111
394,2,31.384615,87.115385
395,2,36.833333,87.500000
396,2,41.769231,87.192308
397,2,47.074074,87.444444
401,2,66.807692,87.115385
402,2,72.045455,86.727273
403,2,76.920000,86.680000
404,2,82.083333,87.041667
405,2,86.461538,87.538462
408,2,101.920000,87.240000
409,2,106.916667,87.083333
411,2,116.956522,85.913043
413,2,127.120000,86.400000
415,2,137.130435,86.652174
417,2,147.240000,86.440000
418,2,151.600000,86.120000
421,2,166.291667,86.916667
422,2,171.111111,87.407407
424,2,182.120000,87.040000
426,2,192.173913,87.913043
427,2,196.423077,86.769231
430,2,211.407407,86.814815
431,2,217.250000,86.964286
434,2,231.458333,86.375000
435,2,26.875000,92.833333
436,2,32.250000,91.666667
442,2,62.409091,91.363636
444,2,71.956522,91.173913
445,2,77.107143,91.892857
446,2,82.181818,91.681818
449,2,97.720000,91.680000
450,2,102.619048,92.095238
451,2,106.954545,91.863636
459,2,146.888889,92.777778
462,2,161.653846,92.423077
463,2,166.400000,91.960000
470,2,202.560000,92.120000
472,2,212.222222,91.851852
473,2,216.640000,91.760000
474,2,221.454545,92.681818
476,2,232.083333,92.083333
477,2,27.500000,97.500000
479,2,37.000000,97.000000
480,2,42.200000,97.000000
481,2,47.304348,97.217391
482,2,52.130435,97.347826
483,2,57.500000,97.125000
485,2,67.423077,96.307692
490,2,92.080000,96.960000
492,2,101.962963,97.333333
493,2,106.920000,97.120000
497,2,126.920000,97.040000
498,2,131.739130,97.173913
501,2,147.826087,98.521739
504,2,161.923077,97.884615
507,2,176.875000,97.250000
508,2,182.173913,97.565217
509,2,187.307692,97.923077
511,2,197.875000,96.625000
513,2,206.280000,97.000000
515,2,216.840000,97.120000
517,2,226.480000,96.640000
518,2,232.153846,97.230769
519,2,237.083333,96.958333
520,2,23.375000,102.375000
522,2,31.720000,102.280000
523,2,36.692308,101.884615
525,2,46.909091,102.045455
526,2,51.560000,102.760000
528,2,61.230769,101.730769
532,2,82.291667,102.500000
534,2,91.960000,102.120000
535,2,97.120000,101.800000
537,2,106.320000,101.720000
540,2,122.000000,101.347826
542,2,131.680000,102.160000
543,2,137.000000,102.080000
546,2,151.680000,102.240000
548,2,161.703704,102.666667
550,2,171.666667,101.791667
551,2,176.680000,101.920000
552,2,181.434783,102.565217
556,2,201.500000,102.500000
557,2,206.769231,101.961538
558,2,212.192308,101.961538
560,2,223.000000,101.461538
561,2,227.000000,102.304348
563,2,236.392857,102.392857
565,2,27.523810,107.238095
567,2,37.720000,106.320000
571,2,57.478261,107.173913
576,2,81.833333,107.500000
578,2,92.291667,107.208333
582,2,112.428571,106.678571
583,2,117.208333,106.625000
585,2,127.000000,107.200000
586,2,132.250000,107.250000
589,2,147.086957,106.826087
590,2,151.423077,108.153846
591,2,156.923077,107.115385
594,2,172.541667,107.041667
595,2,177.086957,106.956522
597,2,186.650000,106.600000
600,2,201.307692,107.192308
602,2,211.760000,107.160000
605,2,227.000000,107.125000
608,2,21.750000,111.875000
609,2,26.666667,112.083333
611,2,36.920000,111.120000
612,2,41.384615,112.269231
614,2,51.909091,112.090909
618,2,71.652174,111.869565
619,2,77.000000,111.800000
620,2,82.037037,112.037037
624,2,102.818182,111.500000
627,2,117.208333,112.250000
628,2,122.222222,111.592593
629,2,127.190476,112.238095
630,2,131.833333,111.958333
632,2,142.041667,111.875000
633,2,147.125000,112.125000
641,2,186.608696,111.347826
643,2,196.869565,111.608696
644,2,202.107143,112.785714
646,2,211.708333,112.083333
648,2,221.956522,111.956522
649,2,227.080000,111.960000
653,2,27.458333,117.041667
656,2,41.923077,116.884615
657,2,46.440000,116.120000
661,2,66.962963,117.296296
670,2,112.478261,117.304348
672,2,121.416667,116.500000
673,2,126.240000,117.240000
675,2,136.280000,116.880000
678,2,151.840000,117.600000
680,2,161.480000,117.480000
681,2,166.555556,117.666667
682,2,171.916667,116.916667
683,2,176.826087,116.869565
689,2,207.240000,117.120000
693,2,227.583333,116.791667
694,2,232.692308,117.153846
697,2,26.478261,121.391304
702,2,51.800000,122.000000
705,2,67.260870,122.347826
706,2,72.000000,122.346154
714,2,112.080000,122.600000
716,2,121.920000,121.280000
718,2,132.260870,120.956522
720,2,141.681818,121.818182
721,2,146.769231,121.423077
722,2,151.560000,122.480000
723,2,156.760000,121.800000
726,2,170.954545,122.136364
728,2,182.461538,121.538462
730,2,192.217391,122.260870
731,2,197.000000,122.000000
732,2,202.416667,122.000000
738,2,230.958333,122.000000
741,2,26.916667,126.916667
742,2,31.880000,126.560000
743,2,37.250000,127.583333
745,2,47.370370,127.000000
749,2,67.000000,127.000000
752,2,81.962963,127.333333
753,2,87.192308,127.115385
758,2,112.000000,127.590909
762,2,131.821429,126.392857
764,2,142.240000,126.400000
766,2,151.521739,127.304348
770,2,171.666667,127.208333
773,2,186.708333,127.125000
774,2,192.250000,127.458333
775,2,197.400000,126.880000
776,2,202.407407,126.777778
777,2,207.640000,126.520000
778,2,211.863636,127.227273
785,2,27.000000,132.000000
787,2,37.166667,132.125000
788,2,41.916667,131.916667
789,2,47.458333,131.708333
794,2,71.576923,132.730769
796,2,82.615385,131.769231
797,2,88.000000,132.125000
801,2,107.434783,132.913043
804,2,122.720000,131.880000
806,2,132.000000,132.000000
807,2,136.840000,132.080000
808,2,141.814815,131.740741
811,2,157.185185,132.296296
812,2,161.666667,132.166667
814,2,171.625000,131.750000
