ID,type,x COM, y COM
1,2,102.851852,24.148148
2,2,106.600000,22.280000
3,2,111.695652,22.347826
4,2,118.208333,23.416667
5,2,120.347826,26.086957
6,2,126.769231,21.423077
8,2,135.913043,22.000000
9,2,141.391304,22.434783
10,2,147.391304,24.000000
12,2,156.500000,21.500000
18,2,112.250000,27.583333
19,2,115.560000,27.960000
20,2,123.880000,26.520000
27,2,158.541667,26.708333
31,2,77.173913,34.521739
34,2,93.272727,31.954545
35,2,97.739130,32.434783
37,2,106.750000,31.833333
39,2,118.125000,32.625000
41,2,127.520000,31.600000
42,2,133.875000,32.583333
43,2,138.954545,31.590909
45,2,146.318182,31.681818
47,2,156.772727,30.772727
48,2,162.200000,32.120000
50,2,174.538462,30.846154
51,2,179.307692,32.346154
53,2,73.000000,36.583333
58,2,95.666667,36.380952
60,2,107.083333,36.916667
61,2,111.458333,37.333333
62,2,116.360000,37.680000
69,2,151.888889,35.851852
70,2,157.500000,35.500000
71,2,160.173913,37.913043
72,2,165.040000,37.920000
73,2,171.458333,36.750000
81,2,78.125000,43.291667
82,2,82.227273,41.136364
83,2,86.541667,40.916667
85,2,97.541667,41.833333
86,2,101.888889,42.814815
89,2,117.333333,41.761905
91,2,126.880000,42.120000
92,2,131.863636,43.318182
93,2,136.440000,43.000000
94,2,141.227273,42.227273
98,2,163.038462,42.692308
99,2,167.608696,41.565217
101,2,176.360000,42.520000
103,2,186.952381,42.666667
105,2,196.692308,40.961538
107,2,61.391304,46.565217
113,2,91.250000,48.458333
115,2,101.000000,48.038462
116,2,106.083333,46.458333
117,2,111.037037,47.444444
118,2,116.000000,46.391304
120,2,128.166667,46.875000
121,2,132.434783,48.739130
125,2,154.000000,45.181818
127,2,160.200000,47.160000
128,2,166.782609,48.565217
131,2,184.083333,46.791667
132,2,189.125000,47.750000
133,2,193.909091,48.272727
134,2,197.653846,45.730769
135,2,203.115385,47.153846
137,2,58.000000,51.590909
138,2,62.000000,52.840000
139,2,65.250000,51.333333
140,2,70.680000,52.120000
141,2,76.360000,51.760000
142,2,81.730769,51.846154
143,2,87.583333,51.750000
146,2,101.000000,55.200000
148,2,112.000000,51.875000
149,2,116.791667,53.250000
152,2,130.950000,53.050000
153,2,136.240000,52.120000
154,2,140.541667,53.958333
155,2,145.681818,52.090909
157,2,156.615385,51.192308
158,2,160.782609,52.000000
160,2,171.956522,52.304348
163,2,186.227273,52.227273
164,2,191.500000,52.416667
166,2,201.920000,53.240000
168,2,48.000000,56.333333
169,2,52.000000,57.173913
171,2,60.217391,57.478261
173,2,71.909091,58.000000
174,2,76.160000,55.920000
177,2,91.615385,57.038462
178,2,97.777778,58.000000
180,2,108.520000,57.640000
181,2,112.875000,56.666667
184,2,126.576923,56.923077
185,2,133.000000,57.370370
186,2,137.541667,58.250000
188,2,145.666667,56.333333
191,2,161.833333,56.958333
193,2,171.880000,57.400000
194,2,176.320000,56.080000
195,2,181.920000,57.440000
196,2,187.250000,56.916667
197,2,191.708333,57.541667
199,2,201.920000,57.760000
200,2,207.695652,57.608696
201,2,212.440000,58.320000
202,2,43.240000,61.880000
204,2,51.840000,62.680000
205,2,56.360000,61.720000
209,2,77.807692,60.538462
210,2,82.409091,60.318182
212,2,91.538462,62.692308
213,2,94.923077,62.846154
214,2,102.000000,60.478261
215,2,107.615385,62.384615
219,2,126.125000,62.208333
220,2,130.142857,61.761905
221,2,135.045455,62.272727
223,2,147.608696,62.173913
224,2,151.440000,62.880000
226,2,162.083333,62.458333
227,2,166.708333,60.625000
228,2,175.652174,60.565217
232,2,193.318182,61.863636
233,2,198.038462,60.884615
235,2,206.880000,62.320000
236,2,211.875000,63.125000
238,2,43.076923,67.115385
239,2,47.880000,67.360000
240,2,54.200000,67.280000
241,2,60.000000,65.791667
242,2,58.375000,70.125000
243,2,64.826087,66.565217
244,2,70.217391,66.217391
246,2,80.148148,66.592593
252,2,112.038462,66.923077
253,2,116.958333,67.541667
254,2,122.000000,67.230769
255,2,127.380952,66.809524
256,2,131.280000,67.320000
257,2,136.200000,66.960000
258,2,140.592593,65.518519
260,2,153.423077,68.538462
261,2,157.357143,64.928571
262,2,161.777778,67.703704
267,2,187.320000,67.080000
270,2,202.000000,68.520000
274,2,220.840000,68.120000
275,2,37.269231,71.538462
277,2,47.625000,72.166667
278,2,52.800000,71.680000
280,2,62.904762,71.761905
282,2,72.695652,70.826087
283,2,76.913043,71.608696
284,2,82.360000,70.720000
286,2,91.269231,71.961538
287,2,97.166667,71.416667
288,2,102.454545,73.863636
295,2,138.333333,70.958333
297,2,147.500000,72.538462
299,2,157.666667,71.333333
303,2,176.760000,72.640000
308,2,202.640000,73.760000
309,2,206.875000,72.916667
310,2,212.608696,72.043478
313,2,33.040000,78.240000
316,2,46.833333,76.541667
317,2,51.500000,77.000000
319,2,61.107143,78.250000
320,2,68.760000,74.680000
321,2,73.333333,76.833333
322,2,77.500000,76.500000
325,2,91.826087,77.130435
326,2,97.230769,75.384615
328,2,107.043478,75.956522
329,2,111.458333,77.333333
330,2,115.407407,77.925926
331,2,122.173913,77.565217
332,2,126.240000,75.400000
336,2,147.541667,76.458333
340,2,165.652174,77.130435
342,2,177.240000,77.200000
346,2,193.269231,78.000000
347,2,199.958333,77.125000
348,2,207.120000,77.600000
350,2,217.958333,78.541667
352,2,227.777778,77.074074
357,2,50.363636,81.136364
361,2,70.791667,80.208333
362,2,76.740741,82.074074
365,2,91.068966,81.931034
366,2,96.652174,80.739130
368,2,108.083333,81.083333
370,2,118.777778,82.444444
371,2,122.875000,82.625000
372,2,127.272727,79.909091
373,2,130.833333,82.791667
374,2,135.541667,80.166667
375,2,141.739130,79.913043
379,2,161.956522,79.826087
380,2,167.166667,82.916667
382,2,177.080000,81.800000
383,2,181.260870,82.782609
384,2,186.346154,81.884615
385,2,191.727273,82.045455
386,2,197.250000,80.750000
389,2,213.166667,80.916667
390,2,216.521739,84.086957
391,2,221.880000,82.320000
392,2,226.769231,83.115385
394,2,31.708333,88.125000
395,2,35.000000,86.480000
396,2,42.291667,86.291667
397,2,46.884615,88.000000
401,2,68.148148,87.259259
402,2,72.200000,86.360000
403,2,76.840000,86.240000
404,2,83.409091,87.681818
405,2,89.111111,87.222222
